External Ref,Player Name,Role,Base Price,Pool,Country,IPL Team,Playing Style,Matches,Runs,Batting Average,Highest Score,Strike Rate,Wickets,Economy,Best Bowling Wickets,Best Bowling Runs
sachin-baby,SACHIN BABY,ALL ROUNDER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,SUNRISERS HYDERABAD,ALL ROUNDER,20,144,14.40,33,,,,,
basil-thampi,BASIL THAMPI,BOWLER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,SUNRISERS HYDERABAD,RIGHT ARM FAST BOWLER,26,,,,,24,9.83,3,29
shahrukh-khan,SHAHRUKH KHAN,ALL ROUNDER,5000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,GUJARAT TITANS,ALL ROUNDER,64,775,20.39,58,,,,,
aditya-tare,ADITYA TARE,WICKET KEEPER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,MUMBAI INDIANS,WICKETKEEPER,35,339,14.12,59,,,,,
manimaran-siddharth,MANIMARAN SIDDHARTH,BOWLER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,LUCKNOW SUPER GIANTS,LEFT ARM ORTHODOX BOWLER,9,,,,,9,9.13,2,35
rishi-dhawan,RISHI DHAWAN,ALL ROUNDER,5000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,PUNJAB KINGS,ALL ROUNDER,39,210,19.09,,,25,8.08,2,14
shahbaz-ahmed,SHABAZ AHMED,ALL ROUNDER,5000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,LUCKNOW SUPER GIANTS,ALL ROUNDER,63,603,20.79,,,27,9.79,3,7
prasanth-solanki,PRASHANT SOLANKI,BOWLER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,CHENNAI SUPER KINGS,RIGHT ARM LEG SPIN,2,,,,,2,6.33,2,20
suyash-prabhudesai,SUYASH PRABHUDESSAI,BATTER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,ROYAL CHALLENGERS BENGALURU,RIGHT HAND BATSMAN,11,126,12.60,34,,,,,
arjun-tendulkar,ARJUN TENDULKAR,BOWLER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,LUCKNOW SUPER GIANTS,LEFT HAND FAST BOWLER,6,18,18.00,,,4,9.28,1,9
yash-dhull,YASH DHULL,BATTER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,DELHI CAPITALS,RIGHT HAND BATSMAN,4,16,5.33,13,,,,,
ayush-badoni,AYUSH BADONI,ALL ROUNDER,10000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,LUCKNOW SUPER GIANTS,ALL ROUNDER,66,1178,25.61,,,4,9.22,2,4
anuj-rawat,ANUJ RAWAT,WICKET KEEPER,2000000,POT 17 · UNCAPPED INDIANS - 3,INDIA,GUJARAT TITANS,WICKETKEEPER,24,318,19.88,66,,,,,
jake-frazer-mcgruk,JAKE FRASER MCGURK,BATTER,10000000,POT 18 · CAPPED FOREIGNERS 2,AUSTRALIA,DELHI CAPITALS,RIGHT HAND BATSMAN,15,385,25.67,84,,,,,
jhye-richardson,JHYE RICHARDSON,BATTER,15000000,POT 18 · CAPPED FOREIGNERS 2,AUSTRALIA,DELHI CAPITALS,RIGHT HAND BATSMAN,4,,,,,3,10.47,2,41
nathan-ellis,NATHAN ELLIS,BATTER,10000000,POT 18 · CAPPED FOREIGNERS 2,AUSTRALIA,CHENNAI SUPER KINGS,RIGHT HAND BATSMAN,17,,,,,19,8.66,4,30
dushmantha-chameera,DUSHMANTHA CHAMEERA,BATTER,5000000,POT 18 · CAPPED FOREIGNERS 2,SRI LANKA,DELHI CAPITALS,RIGHT HAND BATSMAN,20,,,,,13,9.70,2,17
matt-henry,MATT HENRY,BATTER,10000000,POT 18 · CAPPED FOREIGNERS 2,NEW ZEALAND,CHENNAI SUPER KINGS,RIGHT HAND BATSMAN,9,,,,,4,11.52,2,54
rovman-powell,ROVMAN POWELL,ALL ROUNDER,15000000,POT 18 · CAPPED FOREIGNERS 2,WEST INDIES,DELHI CAPITALS,ALL ROUNDER,40,555,22.20,67,,,,,
nandre-burger,NANDRE BURGER,BOWLER,10000000,POT 18 · CAPPED FOREIGNERS 2,SOUTH AFRICA,RAJASTHAN ROYALS,LEFT ARM FAST BOWLER,19,,,,,21,9.67,2,21
nuwan-thushara,NUWAN THUSHARA,BOWLER,2000000,POT 18 · CAPPED FOREIGNERS 2,SRI LANKA,,,8,,,,,9,9.43,3,28
liam-dawson,LIAM DAWSON,ALL ROUNDER,2000000,POT 18 · CAPPED FOREIGNERS 2,ENGLAND,,ALL ROUNDER,36,,,,,34,7.81,4,20
mitchell-owen,MITCHELL OWEN,BATTER,5000000,POT 18 · CAPPED FOREIGNERS 2,AUSTRALIA,PUNJAB KINGS,RIGHT HAND BATTER,1,,,,,0,0,,
gulbadin-naib,GULBADIN NAIB,ALL ROUNDER,2000000,POT 18 · CAPPED FOREIGNERS 2,AFGHANISTAN,DELHI CAPITALS,ALL ROUNDER,2,19,19,,126.67,,,,
david-payne,DAVID PAYNE,BOWLER,2000000,POT 18 · CAPPED FOREIGNERS 2,ENGLAND,SUNRISERS HYDERABAD,LEFT ARM FAST BOWLER,2,,,,,2,14,2,35
tom-curran,TOM CURRAN,ALL ROUNDER,10000000,POT 19 · CAPPED FOREIGNERS 3,ENGLAND,ROYAL CHALLENGERS BENGALURU,ALL ROUNDER,13,127,25.40,54,,,,,
daniel-sams,DANIEL SAMS,ALL ROUNDER,10000000,POT 19 · CAPPED FOREIGNERS 3,AUSTRALIA,LUCKNOW SUPER GIANTS,ALL ROUNDER,16,44,4.89,15,,,,,
chris-jordan,CHRIS JORDAN,ALL ROUNDER,15000000,POT 19 · CAPPED FOREIGNERS 3,ENGLAND,MUMBAI INDIANS,ALL ROUNDER,34,81,8.10,30,,,,,
matthew-short,MATHEW SHORT,ALL ROUNDER,15000000,POT 19 · CAPPED FOREIGNERS 3,AUSTRALIA,CHENNAI SUPER KINGS,ALL ROUNDER,9,117,19.5,36,,,,,
evin-lewis,EVIN LEWIS,BATTER,15000000,POT 19 · CAPPED FOREIGNERS 3,WEST INDIES,LUCKNOW SUPER GIANTS,LEFT HAND BATSMAN,27,654,27.25,65,,,,,
eshan-malinga,ESHAN MALINGA,BOWLER,15000000,POT 19 · CAPPED FOREIGNERS 3,SRI LANKA,SUNRISERS HYDERABAD,RIGHT ARM PACE BOWLER,22,,,,,33,9.20,4,32
akeal-hosein,AKEAL HOSEIN,ALL ROUNDER,5000000,POT 19 · CAPPED FOREIGNERS 3,WEST INDIES,CHENNAI SUPER KINGS,ALL ROUNDER,8,,,,,9,8.30,4,17
jason-holder,JASON HOLDER,ALL ROUNDER,10000000,POT 19 · CAPPED FOREIGNERS 3,WEST INDIES,GUJARAT TITANS,ALL ROUNDER,57,324,8.58,4/24,,,,,
zak-foulkes,ZAK FOULKES,BOWLER,7500000,POT 19 · CAPPED FOREIGNERS 3,NEW ZEALAND,CHENNAI SUPER KINGS,RIGHT ARM PACE,22,100,8.99,3/20,,,,,
tom-banton,TOM BANTON,BATTER,7500000,POT 19 · CAPPED FOREIGNERS 3,ENGLAND,GUJARAT TITANS,BATSMAN,2,18,,,,,,,
luke-wood,LUKE WOOD,BOWLER,5000000,POT 19 · CAPPED FOREIGNERS 3,ENGLAND,MUMBAI INDIANS,LEFT ARM FAST BOWLER,2,9,11,1/68,,,,,
michael-bracewell,MICHEAL BRACEWELL,ALL ROUNDER,7500000,POT 19 · CAPPED FOREIGNERS 3,NEW ZEALAND,ROYAL CHALLENGERS BENGALURU,ALL ROUNDER,5,58,8.64,2/13,,,,,
shai-hope,SHAI HOPE,BATTER,7500000,POT 19 · CAPPED FOREIGNERS 3,WEST INDIES,DELHI CAPITALS,RIGHT HAND BATTER,9,183,22.8,,150,,,,
william-o-rourke,WILLIAM O’ROURKE,BOWLER,7500000,POT 19 · CAPPED FOREIGNERS 3,NEW ZEALAND,LUCKNOW SUPER GIANTS,RIGHT ARM FAST BOWLER,3,,,,,6,12.94,3,27
spencer-johnson,SPENCER JOHNSON,BOWLER,7500000,POT 19 · CAPPED FOREIGNERS 3,AUSTRALIA,CHENNAI SUPER KINGS,LEFT ARM FAST BOWLER,12,,,,,5,10.39,2,25
bhanuka-rajapaksa,BHANUKA RAJAPAKSA,BATTER,10000000,POT 19 · CAPPED FOREIGNERS 3,SRI LANKA,PUNJAB KINGS,LEFT HAND BATSMAN,13,277,,50,145,,,,
lhuan-dre-pretorius,LHUAN-DRE PRETORIUS,BATTER,7500000,POT 19 · CAPPED FOREIGNERS 3,SOUTH AFRICA,RAJASTHAN ROYALS,LEFT HAND BATSMAN,2,7,3.50,7,,,,,
andre-fletcher,ANDRE FLETCHER,BATTER,5000000,POT 19 · CAPPED FOREIGNERS 3,WEST INDIES,,RIGHT HAND BATTER,,8671,428.71,,,3,8.03,2,18
nikhil-chaudhary,NIKHIL CHAUDHARY,BATTER,5000000,POT 19 · CAPPED FOREIGNERS 3,USA,,RIGHT HAND BATTER,3,26,13.00,,,1,7.00,1,14
blessing-muzarbani,BLESSING MUZARABANI,BOWLER,2000000,POT 19 · CAPPED FOREIGNERS 3,ZIMBABWE,KOLKATA KNIGHT RIDERS,RIGHT ARM FAST BOWLER,2,,,,,4,10.71,4,41
shubham-ranjhane,SHUBHAM RANJANE,BATTER,5000000,POT 19 · CAPPED FOREIGNERS 3,USA,,RIGHT HAND BATTER,4,141,70.50,,,1,6.50,1,6
wiaan-mulder,WIAAN MULDER,ALL ROUNDER,5000000,POT 19 · CAPPED FOREIGNERS 3,SOUTH AFRICA,,ALL ROUNDER,1,9,9.00,9,,,,,
rilee-rossouw,RILEE ROSSOUW,BATTER,7500000,POT 19 · CAPPED FOREIGNERS 3,SOUTH AFRICA,PUNJAB KINGS,LEFT HAND BATSMAN,22,473,23.65,82,,,,,
delano-potgieter,DELANO POTGIETER,ALL ROUNDER,2000000,POT 19 · CAPPED FOREIGNERS 3,SOUTH AFRICA,,ALL ROUNDER,97,1329,30.20,,,49,7.99,5,10
rakibul-hasan,RAKIBUL HASAN,BOWLER,5000000,POT 19 · CAPPED FOREIGNERS 3,BANGLADESH,,RIGHT ARM FAST BOWLER,72,156,8.66,,,71,7.06,3,7
wahidullah-zadran,WAHIDULLAH ZADRAN,BOWLER,2000000,POT 19 · CAPPED FOREIGNERS 3,AFGHANISTAN,,RIGHT ARM OFF BREAK,25,5,2.5,,,33,7.13,4,22
prabhsimran-singh,PRABHSIMRAN SINGH,WICKET KEEPER,15000000,POT 20 · UNCAPPED,INDIA,PUNJAB KINGS,WICKETKEEPER,65,1815,28.81,103,,,,,
tushar-deshpande,TUSHAR DESHPANDE,BOWLER,10000000,POT 20 · UNCAPPED,INDIA,RAJASTHAN ROYALS,RIGHT ARM PACE BOWLER,54,,,,,55,10.11,4,27
akash-madhwal,AKASH MADHWAL,BOWLER,5000000,POT 20 · UNCAPPED,INDIA,CHENNAI SUPER KINGS,RIGHT ARM PACE BOWLER,17,,,,,23,10.06,5,5
suyash-sharma,SUYASH SHARMA,BOWLER,5000000,POT 20 · UNCAPPED,INDIA,ROYAL CHALLENGERS BENGALURU,RIGHT ARM LEG SPIN,39,,,,,27,8.89,3,17
yash-thakur,YASH THAKUR,BOWLER,5000000,POT 20 · UNCAPPED,INDIA,PUNJAB KINGS,RIGHT ARM PACE BOWLER,1,,,,,2,13.75,5,30
yash-dayal,YASH DAYAL,BOWLER,10000000,POT 20 · UNCAPPED,INDIA,ROYAL CHALLENGERS BENGALURU,LEFT ARM PACE BOWLER,43,,,,,41,9.58,3,20
karthik-tyagi,KARTIK TYAGI,BOWLER,10000000,POT 20 · UNCAPPED,INDIA,KOLKATA KNIGHT RIDERS,RIGHT ARM FAST BOWLER,34,,,,,33,9.98,3,22
m-siddharth,M. SIDDHARTH,BOWLER,5000000,POT 20 · UNCAPPED,INDIA,MUMBAI INDIANS,LEFT ARM ORTHODOX BOWLER,9,,,,,9,9.13,2,35
abhimanyu-easwaran,ABHIMANYU EASWARAN,BATTER,5000000,POT 20 · UNCAPPED,INDIA,,RIGHT HAND BATSMAN,,,,,,,,,
dhruv-shorey,DHRUV SHOREY,BATTER,5000000,POT 20 · UNCAPPED,INDIA,CHENNAI SUPER KINGS,RIGHT HAND BATSMAN,2,13,6.50,8,,,,,
kalmesh-nagarkoti,KAMLESH NAGARKOTI,BOWLER,5000000,POT 20 · UNCAPPED,INDIA,DELHI CAPITALS,RIGHT ARM PACE BOWLER,12,,,,,5,9.50,2,13
manan-vohra,MANAN VOHRA,BATTER,5000000,POT 20 · UNCAPPED,INDIA,PUNJAB KINGS,RIGHT HAND BATSMAN,56,1083,22.10,95,,,,,
murgan-ashwin,MURGAN ASHWIN,BOWLER,5000000,POT 20 · UNCAPPED,INDIA,RAJASTHAN ROYALS,RIGHT ARM LEG SPIN,44,,,,,35,8.01,3,21
mukesh-choudhary,MUKESH CHOUDARY,BOWLER,5000000,POT 20 · UNCAPPED,INDIA,CHENNAI SUPER KINGS,LEFT ARM PACE BOWLER,24,,,,,25,9.58,4,46
sai-kishore,SAI KISHORE,ALL ROUNDER,10000000,POT 20 · UNCAPPED,INDIA,GUJARAT TITANS,ALL ROUNDER,28,,,,,33,8.99,4,33
anmolpreet-singh,ANMOLPREET SINGH,BATTER,5000000,POT 20 · UNCAPPED,INDIA,PUNJAB KINGS,RIGHT HAND BATSMAN,9,139,15.44,36,,,,,
gurkeerat-mann-singh,GURKEERAT MANN SINGH,ALL ROUNDER,5000000,POT 20 · UNCAPPED,INDIA,PUNJAB KINGS,ALL ROUNDER,41,511,21.29,65,,,,,
sandeep-warrier,SANDEEP WARRIER,BOWLER,5000000,POT 21 · UNCAPPED 2,INDIA,GUJARAT TITANS,RIGHT ARM PACE BOWLER,10,,,,,8,9.03,3,15
ankul-roy,ANUKUL ROY,ALL ROUNDER,2000000,POT 21 · UNCAPPED 2,INDIA,KOLKATA KNIGHT RIDERS,ALL ROUNDER,26,,,,,15,8.90,2,19
sameer-rizvi,SAMEER RIZVI,ALL ROUNDER,7500000,POT 21 · UNCAPPED 2,INDIA,DELHI CAPITALS,ALL ROUNDER,24,424,30.29,90,,,,,
shashank-singh,SHASHANK SINGH,ALL ROUNDER,10000000,POT 21 · UNCAPPED 2,INDIA,PUNJAB KINGS,ALL ROUNDER,53,,,,,5,9.33,2,20
ankrish-raghuvanshi,ANKRISH RAGUVANSHI,ALL ROUNDER,10000000,POT 21 · UNCAPPED 2,INDIA,KOLKATA KNIGHT RIDERS,ALL ROUNDER,34,885,34.04,82,,,,,
ayush-mhatre,AYUSH MATHRE,BATTER,15000000,POT 21 · UNCAPPED 2,INDIA,CHENNAI SUPER KINGS,RIGHT HAND BATTER,13,411,33.92,94,,,,,
yudhvir-singh,YUDHVIR SINGH,BOWLER,7500000,POT 21 · UNCAPPED 2,INDIA,RAJASTHAN ROYALS,RIGHT ARM FAST BOWLER,10,,,,,8,10.33,2,24
naman-dhir,NAMAN DHIR,BATTER,10000000,POT 21 · UNCAPPED 2,INDIA,MUMBAI INDIANS,RIGHT HAND BATTER,37,710,27.31,62,,,,,
suryansh-shedge,SURYANSH SHEGDE,BATTER,7500000,POT 21 · UNCAPPED 2,INDIA,PUNJAB KINGS,RIGHT HAND BATTER,5,20,,15,133.33,,,,
vijaykumar-vyshak,VIJAYKUMAR VYSHAK,BOWLER,10000000,POT 22 · UNCAPPED 3,INDIA,PUNJAB KINGS,RIGHT ARM PACE BOWLER,26,,,,,26,10.47,3,20
jagdeesha-suchith,JAGADEESHA SUCHITH,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,SUNRISERS HYDERABAD,LEFT ARM ORTHODOX BOWLER,22,,,,,19,8.60,2,12
priyan-garg,PRIYAM GARG,BATTER,2000000,POT 22 · UNCAPPED 3,INDIA,DELHI CAPITALS,RIGHT HAND BATSMAN,23,273,15.2,51,,,,,
vaibhav-arora,VAIBHAV ARORA,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,KOLKATA KNIGHT RIDERS,RIGHT ARM PACE BOWLER,43,,,,,47,9.74,3,27
vipraj-nigam,VIPRAJ NIGAM,ALL ROUNDER,7500000,POT 22 · UNCAPPED 3,INDIA,DELHI CAPITALS,ALL ROUNDER,19,,,,,13,9.77,2,18
digvesh-rathi,DIGVESH RATHI,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,LUCKNOW SUPER GIANTS,RIGHT ARM LEG SPINNER,43,,,,,47,9.74,3,27
sakib-hussain,SAKIB HUSSAIN,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,,,11,,,,,15,9.45,4,24
ashwani-kumar,ASHWANI KUMAR,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,,,10,,,,,17,10.95,3,28
praful-hinge,PRAFUL HINGE,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,,,7,,,,,14,11.73,4,34
vignesh-puthur,VIGNESH PUTHUR,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,,,5,,,,,6,9.08,3,32
sumit-kumar,SUMIT KUMAR,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,,,4,,,,,0,11.40,,
krish-bhagat,KRISH BHAGAT,BOWLER,2000000,POT 22 · UNCAPPED 3,INDIA,,,3,,,,,0,10.50,0,10
prashant-veer,PRASHANT VEER,ALL ROUNDER,5000000,POT 22 · UNCAPPED 3,INDIA,CHENNAI SUPER KINGS,ALL ROUNDER,6,90,45.00,,,2,11.10,0,25
kartik-sharma,KARTHIK SHARMA,BATTER,7500000,POT 22 · UNCAPPED 3,INDIA,CHENNAI SUPER KINGS,RIGHT HAND BATTER,11,295,32.78,71,,,,,
brijesh-sharma,BRIJESH SHARMA,BOWLER,5000000,POT 22 · UNCAPPED 3,INDIA,RAJASTHAN ROYALS,RIGHT ARM FAST BOWLER,13,,,,,14,9.89,2,18
yash-raj-punja,YASH RAJ PUNJA,BOWLER,5000000,POT 22 · UNCAPPED 3,INDIA,RAJASTHAN ROYALS,RIGHT ARM LEG SPINNER,8,,,,,9,9.30,2,35
abhinav-manohar,ABHINAV MANOHAR,BATTER,7500000,POT 22 · UNCAPPED 3,INDIA,SUNRISERS HYDERABAD,RIGHT HAND BATTER,27,292,15.37,43,,,,,
